#Thread	Model	PosX	PosY	PosZ	RotX	RotY	RotZ	RotW
finale_heist_prepa	stt_prop_ramp_jump_xs	400.1	-1611.5	28.2919	0	0	0.415777	0.909466
docks_setup	stt_prop_stunt_jump_loop	8.18598	-2542.3	11.455	0	0	-0.245276	0.969453
#armenian3	stt_prop_ramp_jump_xs	-810.946	160.515	71.2564	4.627	-9.001	18.905	
family2	prop_fnclink_02l	-2016.82	-1040.94	1.54198	-0.685873	0.221804	0.0521769	0.691129
armenian3	prop_fnclink_02l	-811.617	161.7	75.3843	0.0312238	0.710605	-0.65896	0.244617
armenian3	prop_fnclink_02l	-818.868	159.406	72.1768	0.0312238	0.710605	-0.65896	0.244617
docks_setup	prop_fnclink_02e	-53.6119	-2400.7	21.3028	-0.500208	0.492758	-0.499687	0.507242
docks_setup	prop_fnclink_02e	-53.6119	-2400.7	21.3028	-0.500208	0.492758	-0.499687	0.507242
docks_setup	prop_fnclink_02e	-53.5835	-2400.72	21.3826	0.147506	0.69614	-0.686726	0.148455
docks_setup	prop_fnclink_02e	-64.8061	-2400.72	16.3484	0.147506	0.69614	-0.686726	0.148455
docks_setup	prop_fnclink_02e	-75.9732	-2400.72	11.3388	0.147506	0.69614	-0.686726	0.148455
docks_setup	prop_fnclink_02e	-87.1404	-2400.72	6.32913	0.147506	0.69614	-0.686726	0.148455
armenian1	vw_prop_casino_art_statue_02a	-1906.53	-576.32	18.4972	0	0	0.941775	0.336244
