#Weapon	=	Weight	Individual Weight
group_heavy	=	2.2	
group_melee	=	0.3	
group_unarmed	=	0.1	
group_fireextinguisher	=	0.1	
group_stungun	=	1	
group_pistol	=	0.8	
group_thrown	=	0	
group_smg	=	1	
group_rifle	=	1	
group_mg	=	1	
group_shotgun	=	1	
group_sniper	=	1	
group_petrolcan	=	0	
group_digiscanner	=	0	
group_nightvision	=	0	
group_parachute	=	0	
group_fireextinguisher	=	0	
			
weapon_raypistol	=	2.5	2
weapon_stungun	=	2	2
weapon_flaregun	=	1.875	1.5
weapon_rayminigun	=	1.090909091	2.4
weapon_firework	=	1.090909091	2.4
weapon_raycarbine	=	1.8	1.8
			
weapon_dagger	=	1	
weapon_bat	=	1	
weapon_bottle	=	1	
weapon_crowbar	=	1	
weapon_unarmed	=	1	
weapon_flashlight	=	1	
weapon_golfclub	=	1	
weapon_hammer	=	1	
weapon_hatchet	=	1	
weapon_knuckle	=	1	
weapon_knife	=	1	
weapon_machete	=	1	
weapon_switchblade	=	1	
weapon_nightstick	=	1	
weapon_wrench	=	1	
weapon_battleaxe	=	1	
weapon_poolcue	=	1	
weapon_stone_hatchet	=	1	
weapon_pistol	=	1	
weapon_pistol_mk2	=	1	
weapon_combatpistol	=	1	
weapon_appistol	=	1	
weapon_pistol50	=	1	
weapon_snspistol	=	1	
weapon_snspistol_mk2	=	1	
weapon_heavypistol	=	1	
weapon_vintagepistol	=	1	
weapon_marksmanpistol	=	1	
weapon_revolver	=	1	
weapon_revolver_mk2	=	1	
weapon_doubleaction	=	1	
weapon_ceramicpistol	=	1	
weapon_navyrevolver	=	1	
weapon_gadgetpistol	=	1	
weapon_microsmg	=	1	
weapon_smg	=	1	
weapon_smg_mk2	=	1	
weapon_assaultsmg	=	1	
weapon_combatpdw	=	1	
weapon_machinepistol	=	1	
weapon_minismg	=	1	
weapon_pumpshotgun	=	1	
weapon_pumpshotgun_mk2	=	1	
weapon_sawnoffshotgun	=	1	
weapon_assaultshotgun	=	1	
weapon_bullpupshotgun	=	1	
weapon_musket	=	1	
weapon_heavyshotgun	=	1	
weapon_dbshotgun	=	1	
weapon_autoshotgun	=	1	
weapon_combatshotgun	=	1	
weapon_assaultrifle	=	1	
weapon_assaultrifle_mk2	=	1	
weapon_carbinerifle	=	1	
weapon_carbinerifle_mk2	=	1	
weapon_advancedrifle	=	1	
weapon_specialcarbine	=	1	
weapon_specialcarbine_mk2	=	1	
weapon_bullpuprifle	=	1	
weapon_bullpuprifle_mk2	=	1	
weapon_compactrifle	=	1	
weapon_militaryrifle	=	1	
weapon_mg	=	1	
weapon_combatmg	=	1	
weapon_combatmg_mk2	=	1	
weapon_gusenberg	=	1	
weapon_sniperrifle	=	1	
weapon_heavysniper	=	1	
weapon_heavysniper_mk2	=	1	
weapon_marksmanrifle	=	1	
weapon_marksmanrifle_mk2	=	1	
weapon_rpg	=	1	
weapon_grenadelauncher	=	1	
weapon_grenadelauncher_smoke	=	1	
weapon_minigun	=	1	
weapon_railgun	=	1	
weapon_hominglauncher	=	1	
weapon_compactlauncher	=	1	
weapon_grenade	=	1	
weapon_bzgas	=	1	
weapon_molotov	=	1	
weapon_stickybomb	=	1	
weapon_proxmine	=	1	
weapon_snowball	=	1	
weapon_pipebomb	=	1	
weapon_ball	=	1	
weapon_smokegrenade	=	1	
weapon_flare	=	1	
weapon_petrolcan	=	1	
gadget_parachute	=	1	
weapon_fireextinguisher	=	1	
weapon_hazardcan	=	1	
